sa2_name,poi_name,category,longitude,latitude,geometry
Blacktown (East) - Kings Park,BREWONGLE WALKWAY,Park,150.89843351955943,-33.7777475783165,0101000020E61000006A04A7F7BFDC6240CFB48E3B8DE340C0
Blacktown (East) - Kings Park,Park,Park,150.90232411946172,-33.78160912649263,0101000020E61000005DEFD4D6DFDC62403F4592C40BE440C0
Blacktown (East) - Kings Park,Park,Park,150.89955689426324,-33.78149960459325,0101000020E610000010388A2BC9DC624050C8D52D08E440C0
Blacktown (East) - Kings Park,Park,Park,150.89939247741344,-33.77930863692856,0101000020E61000004B98BBD2C7DC62409C8CAA62C0E340C0
Blacktown (East) - Kings Park,Park,Park,150.90574889797338,-33.781910351499185,0101000020E6100000E1E51CE5FBDC6240E30B6EA315E440C0
Blacktown (East) - Kings Park,Park,Park,150.91155731476894,-33.781855527668164,0101000020E610000097EB3E7A2BDD62400BC488D713E440C0
Blacktown (East) - Kings Park,Park,Park,150.91084492020596,-33.778514303322105,0101000020E610000065003FA425DD62404B1E505BA6E340C0
Blacktown (East) - Kings Park,Park,Park,150.9120778175092,-33.77670673431289,0101000020E61000007EB3D1BD2FDD6240793A53206BE340C0
Blacktown (East) - Kings Park,Park,Park,150.8935840776858,-33.78073282567156,0101000020E610000061BCA23D98DC62402696A00DEFE340C0
Blacktown (East) - Kings Park,JOSEPH FRANK PARK,Park,150.89744757990758,-33.76739592042338,0101000020E61000007AB2FCE3B7DC6240B0A68E073AE240C0
Blacktown (East) - Kings Park,ALPHA PARK,Park,150.90461731176953,-33.77175608999512,0101000020E6100000422E01A0F2DC62404A824FE7C8E240C0
Blacktown (East) - Kings Park,BILLY GOAT HILL RESERVE,Park,150.91648037717334,-33.766821723829906,0101000020E610000054ECA7CE53DD62401CDBD83627E240C0
Blacktown (East) - Kings Park,Park,Park,150.8979915771857,-33.752399012053544,0101000020E61000001303D558BCDC624006285F9C4EE040C0
Blacktown (East) - Kings Park,Park,Park,150.90086384239038,-33.75185202112255,0101000020E6100000E6A668E0D3DC62409113E1AF3CE040C0
Blacktown (East) - Kings Park,Park,Park,150.90001580491435,-33.749390700627664,0101000020E6100000B0FFF1EDCCDC6240A98FD308ECDF40C0
Blacktown (East) - Kings Park,Park,Park,150.9173863038829,-33.75420378363403,0101000020E6100000369F853A5BDD6240239DE4BF89E040C0
Blacktown (East) - Kings Park,KINGSFORD RESERVE,Park,150.92470163738102,-33.75169324226197,0101000020E61000007E63E32797DD6240D711F27B37E040C0
Blacktown (East) - Kings Park,Park,Park,150.92348219594246,-33.7706660786703,0101000020E61000005BC0882A8DDD62404403A22FA5E240C0
Blacktown (East) - Kings Park,Park,Park,150.92250085476644,-33.76812051455487,0101000020E61000002038832085DD62402FB3E4C551E240C0
Blacktown (East) - Kings Park,CHRISTIES CORNER,Park,150.9223682149215,-33.76493854417608,0101000020E6100000A6BE580A84DD6240D3579781E9E140C0
Blacktown (East) - Kings Park,Park,Park,150.92289877519968,-33.7756246479634,0101000020E61000000920036388DD6240B67C20AB47E340C0
Blacktown (East) - Kings Park,Park,Park,150.9277237802026,-33.7780636929573,0101000020E610000022F6C7E9AFDD624072BA519797E340C0
Blacktown (East) - Kings Park,PATRICIAN BROTHERS COLLEGE BLACKTOWN,High School,150.90873548098443,-33.77408520972092,0101000020E610000060716E5C14DD6240CA08623915E340C0
Blacktown (East) - Kings Park,MITCHELL RESERVE,Park,150.91745319333722,-33.782606700771396,0101000020E6100000D09FCCC65BDD6240C8B8D4742CE440C0
Blacktown (East) - Kings Park,BLACKTOWN HOSPITAL,General Hospital,150.91693003697367,-33.775523363467826,0101000020E6100000B430A97D57DD62406AB07D5944E340C0
Blacktown (East) - Kings Park,MARAYONG OVAL,Sports Field,150.89666375221148,-33.75014611254895,0101000020E610000039682E78B1DC6240444FAEC904E040C0
Blacktown (East) - Kings Park,CAMPBELL PARK,Park,150.89720193110156,-33.76201912807473,0101000020E6100000A8FFD2E0B5DC6240F300C1D789E140C0
