sa2_name,poi_name,category,longitude,latitude
Blacktown (East) - Kings Park,BREWONGLE WALKWAY,Park,150.89843351955943,-33.7777475783165
Blacktown (East) - Kings Park,Park,Park,150.90232411946172,-33.78160912649263
Blacktown (East) - Kings Park,Park,Park,150.89955689426324,-33.78149960459325
Blacktown (East) - Kings Park,Park,Park,150.89939247741344,-33.77930863692856
Blacktown (East) - Kings Park,Park,Park,150.90574889797338,-33.781910351499185
Blacktown (East) - Kings Park,Park,Park,150.91155731476894,-33.781855527668164
Blacktown (East) - Kings Park,Park,Park,150.91084492020596,-33.778514303322105
Blacktown (East) - Kings Park,Park,Park,150.9120778175092,-33.77670673431289
Blacktown (East) - Kings Park,Park,Park,150.8935840776858,-33.78073282567156
Blacktown (East) - Kings Park,JOSEPH FRANK PARK,Park,150.89744757990758,-33.76739592042338
Blacktown (East) - Kings Park,ALPHA PARK,Park,150.90461731176953,-33.77175608999512
Blacktown (East) - Kings Park,BILLY GOAT HILL RESERVE,Park,150.91648037717334,-33.766821723829906
Blacktown (East) - Kings Park,Park,Park,150.89799157718573,-33.752399012053544
Blacktown (East) - Kings Park,Park,Park,150.90086384239038,-33.75185202112255
Blacktown (East) - Kings Park,Park,Park,150.90001580491437,-33.749390700627664
Blacktown (East) - Kings Park,Park,Park,150.9173863038829,-33.75420378363403
Blacktown (East) - Kings Park,KINGSFORD RESERVE,Park,150.92470163738102,-33.75169324226197
Blacktown (East) - Kings Park,Park,Park,150.92348219594246,-33.7706660786703
Blacktown (East) - Kings Park,Park,Park,150.92250085476644,-33.76812051455487
Blacktown (East) - Kings Park,CHRISTIES CORNER,Park,150.9223682149215,-33.76493854417608
Blacktown (East) - Kings Park,Park,Park,150.92289877519968,-33.7756246479634
Blacktown (East) - Kings Park,Park,Park,150.9277237802026,-33.7780636929573
Blacktown (East) - Kings Park,PATRICIAN BROTHERS COLLEGE BLACKTOWN,High School,150.90873548098443,-33.77408520972092
Blacktown (East) - Kings Park,MITCHELL RESERVE,Park,150.91745319333722,-33.782606700771396
Blacktown (East) - Kings Park,BLACKTOWN HOSPITAL,General Hospital,150.91693003697367,-33.775523363467826
Blacktown (East) - Kings Park,MARAYONG OVAL,Sports Field,150.89666375221148,-33.75014611254895
Blacktown (East) - Kings Park,CAMPBELL PARK,Park,150.89720193110156,-33.76201912807473
Blacktown (East) - Kings Park,JEHOVAHS WITNESSES CHURCH,Place Of Worship,150.9013071654746,-33.76842840927299
Blacktown (East) - Kings Park,ORTHODOX CHURCH,Place Of Worship,150.90186840860963,-33.77470942507666
Blacktown (East) - Kings Park,SEVENTH DAY ADVENTIST CHURCH,Place Of Worship,150.90717119427455,-33.77367188048387
Blacktown (East) - Kings Park,FRANCIS PARK,Park,150.90300931752952,-33.76664663919427
Blacktown (East) - Kings Park,BLACKTOWN SHOWGROUND,Showground,150.90066275361568,-33.76545339054471
Blacktown (East) - Kings Park,ORANA PARK,Park,150.92133781405298,-33.77841916811887
Blacktown (East) - Kings Park,TENNIS COURTS,Sports Court,150.921540194605,-33.77892477259658
Blacktown (East) - Kings Park,SALVATION ARMY CHURCH,Place Of Worship,150.91410000157055,-33.77512841977
Blacktown (East) - Kings Park,CATHOLIC CHURCH,Place Of Worship,150.92560866722172,-33.76054374672767
Blacktown (East) - Kings Park,CAVANAGH RESERVE,Park,150.9241706647762,-33.7595470238463
Blacktown (East) - Kings Park,FRED VASSEL FIELDS,Sports Field,150.9242504351734,-33.74884551077904
Blacktown (East) - Kings Park,TUABILLI PARK,Park,150.89453023544533,-33.77387506678535
Blacktown (East) - Kings Park,WHEELER PARK,Park,150.92639331058814,-33.764700308327036
Blacktown (East) - Kings Park,BAPTIST CHURCH,Place Of Worship,150.91650516259034,-33.764438739669394
Blacktown (East) - Kings Park,MAURICE BOLTON RESERVE,Park,150.91696046111568,-33.773793262005924
Blacktown (East) - Kings Park,MARAYONG HEIGHTS RESERVE,Park,150.89478634513281,-33.743974681710725
Blacktown (East) - Kings Park,Park,Park,150.8981616327606,-33.74262075314101
Blacktown (East) - Kings Park,FAULKLAND CRESCENT RESERVE,Park,150.90959175601154,-33.740362852514345
Blacktown (East) - Kings Park,MARAYONG POST OFFICE,Post Office,150.89980980415174,-33.74663657160806
Blacktown (East) - Kings Park,Parking Area,Parking Area,150.89465391998525,-33.77784148448491
Blacktown (East) - Kings Park,Park,Park,150.91790492375426,-33.779994713146095
Blacktown (East) - Kings Park,Parking Area,Parking Area,150.90844354199177,-33.765637474145116
Blacktown (East) - Kings Park,Parking Area,Parking Area,150.9082987111101,-33.76667506375597
Blacktown (East) - Kings Park,Parking Area,Parking Area,150.9097502215226,-33.768471902880414
Blacktown (East) - Kings Park,Parking Area,Parking Area,150.90666578772263,-33.76742115378808
Blacktown (East) - Kings Park,Parking Area,Parking Area,150.9096811356874,-33.76798173433015
Blacktown (East) - Kings Park,Parking Area,Parking Area,150.90494692610517,-33.770684840555965
Blacktown (East) - Kings Park,Parking Area,Parking Area,150.90533571246857,-33.7693573200361
Blacktown (East) - Kings Park,Parking Area,Parking Area,150.9075767432011,-33.77082544965045
Blacktown (East) - Kings Park,Parking Area,Parking Area,150.91101900113154,-33.77018313549165
Blacktown (East) - Kings Park,Parking Area,Parking Area,150.9128382764315,-33.771029756836505
Blacktown (East) - Kings Park,Parking Area,Parking Area,150.91798804666414,-33.77109625164548
Blacktown (East) - Kings Park,Parking Area,Parking Area,150.91417256478428,-33.77231724403965
Blacktown (East) - Kings Park,Parking Area,Parking Area,150.9147049172014,-33.77241550733653
Blacktown (East) - Kings Park,Parking Area,Parking Area,150.91493608965666,-33.77302643799392
Blacktown (East) - Kings Park,Park,Park,150.91511834525136,-33.770360443427215
Blacktown (East) - Kings Park,BOWLING GREENS,Sports Field,150.91363139180933,-33.77514277139866
Blacktown (East) - Kings Park,Park,Park,150.92541780576659,-33.749872039311036
Blacktown (East) - Kings Park,MARAYONG PARK,Park,150.89709765376503,-33.749389642978784
Blacktown (East) - Kings Park,TENNIS COURTS,Sports Court,150.89709579784568,-33.750609523984224
Blacktown (East) - Kings Park,Parking Area,Parking Area,150.91295090001535,-33.76239810706854
Blacktown (East) - Kings Park,BAPTIST CHURCH,Place Of Worship,150.9259841234846,-33.75302727968843
Blacktown (East) - Kings Park,Sports Field,Sports Field,150.92674458240694,-33.75381039080584
Blacktown (East) - Kings Park,COPTIC CHURCH,Place Of Worship,150.9088647054346,-33.7623318631609
Blacktown (East) - Kings Park,FOURSQUARE GOSPEL CHURCH,Place Of Worship,150.91752935969353,-33.76643998339341
Blacktown (East) - Kings Park,Parking Area,Parking Area,150.89824283776736,-33.774543224462896
Blacktown (East) - Kings Park,UNITING CHURCH,Place Of Worship,150.91603822010228,-33.77843361850387
Blacktown (East) - Kings Park,Parking Area,Parking Area,150.9165790256663,-33.777331434578414
Blacktown (East) - Kings Park,Parking Area,Parking Area,150.91485906181595,-33.774507377244085
Blacktown (East) - Kings Park,Parking Area,Parking Area,150.91517543678094,-33.77688885608308
