sa2_code,sa2_name,sa4_name,well_resourced_score,id
118021566,Maroubra - North,Sydney - Eastern Suburbs,0.1650,1
117031641,Pyrmont,Sydney - City and Inner South,0.0615,2
117011635,Mascot,Sydney - City and Inner South,0.3305,3
117031331,Glebe - Forest Lodge,Sydney - City and Inner South,0.3358,4
116021630,Riverstone,Sydney - Blacktown,0.7111,5
116031315,Hassall Grove - Plumpton,Sydney - Blacktown,0.6239,6
118021568,Maroubra - West,Sydney - Eastern Suburbs,0.1867,7
118021652,Malabar - La Perouse,Sydney - Eastern Suburbs,0.7503,8
118011344,Dover Heights,Sydney - Eastern Suburbs,0.1405,9
116021629,Marsden Park - Shanes Park,Sydney - Blacktown,0.1170,10
118011340,Bondi Beach - North Bondi,Sydney - Eastern Suburbs,0.2969,11
117031648,Zetland,Sydney - City and Inner South,0.0744,12
117031638,Camperdown - Darlington,Sydney - City and Inner South,0.5857,13
117031336,Surry Hills,Sydney - City and Inner South,0.8592,14
116011627,Toongabbie - West,Sydney - Blacktown,0.2596,15
118021569,Randwick - North,Sydney - Eastern Suburbs,0.5570,16
118011345,Paddington - Moore Park,Sydney - Eastern Suburbs,0.8066,17
116011304,Blacktown (North) - Marayong,Sydney - Blacktown,0.8634,18
116031314,Glendenning - Dean Park,Sydney - Blacktown,0.3055,19
116021309,Glenwood,Sydney - Blacktown,0.2778,20
118011347,Woollahra,Sydney - Eastern Suburbs,0.2161,21
118021565,Kingsford,Sydney - Eastern Suburbs,0.1111,22
116021563,Quakers Hill,Sydney - Blacktown,0.6709,23
116021631,Schofields (West) - Colebee,Sydney - Blacktown,0.1023,24
118011649,Bellevue Hill,Sydney - Eastern Suburbs,0.3520,25
118021567,Maroubra - South,Sydney - Eastern Suburbs,0.4659,26
117031639,Chippendale,Sydney - City and Inner South,0.7194,27
117031644,Sydney (North) - Millers Point,Sydney - City and Inner South,1.0000,28
118011341,Bondi Junction - Waverly,Sydney - Eastern Suburbs,0.6885,29
118011346,Rose Bay - Vaucluse - Watsons Bay,Sydney - Eastern Suburbs,0.8390,30
117021328,Sydenham - Tempe - St Peters,Sydney - City and Inner South,0.8162,31
118021651,Coogee - Clovelly,Sydney - Eastern Suburbs,0.3215,32
117031333,Potts Point - Woolloomooloo,Sydney - City and Inner South,0.8215,33
118021564,Kensington (NSW),Sydney - Eastern Suburbs,0.3237,34
116021633,Stanhope Gardens - Parklea,Sydney - Blacktown,0.2697,35
116011561,Blacktown - West,Sydney - Blacktown,0.7993,36
116021562,Acacia Gardens,Sydney - Blacktown,0.0549,37
117011323,Pagewood - Hillsdale - Daceyville,Sydney - City and Inner South,0.7857,38
117021637,Marrickville - South,Sydney - City and Inner South,0.4502,39
116011626,Seven Hills - Prospect,Sydney - Blacktown,0.7932,40
117031640,Newtown (NSW),Sydney - City and Inner South,0.5414,41
118021570,Randwick - South,Sydney - Eastern Suburbs,0.6410,42
116031316,Lethbridge Park - Tregear,Sydney - Blacktown,0.9167,43
117011634,Eastlakes,Sydney - City and Inner South,0.3919,44
116011560,Blacktown - South,Sydney - Blacktown,0.3392,45
116011303,Blacktown (East) - Kings Park,Sydney - Blacktown,0.9619,46
117011321,Botany,Sydney - City and Inner South,0.1673,47
116011307,Lalor Park - Kings Langley,Sydney - Blacktown,0.9951,48
117021327,Petersham - Stanmore,Sydney - City and Inner South,0.4249,49
116031319,Rooty Hill - Minchinbury,Sydney - Blacktown,0.9766,50
116021632,Schofields - East,Sydney - Blacktown,0.3616,51
117031330,Erskineville - Alexandria,Sydney - City and Inner South,0.6713,52
116031313,Bidwill - Hebersham - Emerton,Sydney - Blacktown,0.9689,53
117031646,Ultimo,Sydney - City and Inner South,0.2624,54
116011306,Doonside - Woodcroft,Sydney - Blacktown,0.9146,55
117031645,Sydney (South) - Haymarket,Sydney - City and Inner South,0.4934,56
118011339,Bondi - Tamarama - Bronte,Sydney - Eastern Suburbs,0.2332,57
118021653,Matraville - Chifley,Sydney - Eastern Suburbs,0.7273,58
117031643,Rosebery - Beaconsfield,Sydney - City and Inner South,0.2000,59
116031317,Mount Druitt - Whalan,Sydney - Blacktown,0.9650,60
117031329,Darlinghurst,Sydney - City and Inner South,0.9341,61
117021636,Marrickville - North,Sydney - City and Inner South,0.6990,62
117031642,Redfern,Sydney - City and Inner South,0.5749,63
117031647,Waterloo,Sydney - City and Inner South,0.1474,64
118021654,South Coogee,Sydney - Eastern Suburbs,0.0813,65
118011650,Double Bay - Darling Point,Sydney - Eastern Suburbs,0.4116,66
116021628,Kellyville Ridge - The Ponds,Sydney - Blacktown,0.2523,67
118011342,Centennial Park,Sydney - Eastern Suburbs,0.0083,68
117011325,Sydney Airport,Sydney - City and Inner South,0.0083,69
116031318,Prospect Reservoir,Sydney - Blacktown,0.0083,70
117011320,Banksmeadow,Sydney - City and Inner South,0.0732,71
117011324,Port Botany Industrial,Sydney - City and Inner South,0.0083,72
